,Descripción de productos,Unidad de Medida,Cantidad Mensual de Consenso,Precios,Córdobas,Fecha
2038,Jabón de baño,Unidad,4.67,9.64,45.0188,2020-01-01
2039,Toallas sanitarias ,Bolsa de 10 unid,2.21,20.67,45.6807,2020-01-01
2040,Desodorante nacional,Unidad,1.9,32.89,62.491,2020-01-01
2041,Cepillo dental,Unidad,2.49,14.19,35.3331,2020-01-01
2042,Alquiler,Valor (C$) mensual,1,900,900,2020-01-01
2043,Gas butano , 25 libras,1,261.66,261.66,2020-01-01
2044,Luz eléctrica,KWH,100,3.414401,341.4401,2020-01-01
2045,Agua,Galones,5292,0.029667749387150413,157.0017297568,2020-01-01
2046,Transporte ,Pasaje,240,2.5,600,2020-01-01
2047, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,464.73,288.732148708321,2020-01-01
2048, Camisa manga corta ,Unidad,0.6600037006796985,125.79,83.02186550849927,2020-01-01
2049, Calzoncillos,Unidad,1.56501893310219,44.22,69.20513722177884,2020-01-01
2050, Calcetines,Par,1.3198798072969047,28.46,37.56377931566991,2020-01-01
2051," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,428.33,185.12906770072053,2020-01-01
2052, Blusa manga corta ,Unidad,0.66,123.38,81.4308,2020-01-01
2053, Pantalón largo de tela de jeans ,Unidad,0.51,457.78,233.46779999999998,2020-01-01
2054, Vestido entero ,Unidad,0.5,292.96,146.48,2020-01-01
2055, Calzones/ Bikinis,Unidad,1.23,41.35,50.8605,2020-01-01
2056, Brassier/ sostén,Unidad,0.97,50.29,48.781299999999995,2020-01-01
2057, Sandalias de cuero sintético ,Par,0.44,244.04,107.3776,2020-01-01
2058, Traje completo,Unidad,0.5019645078350022,320.77,161.01515517823367,2020-01-01
2059, Calzones,Unidad,1.4326365541172035,30.79,44.11087950126869,2020-01-01
2060, Calcetines,Par,1.3882846737113883,29.55,41.023812108171526,2020-01-01
2061, Zapato de cuero sintético ,Par,0.44713223086502013,327.53,146.44921957522004,2020-01-01
2062,Arroz ,Libra,38,13.98,531.24,2020-02-01
2063,Frijol ,Libra,34,17.13,582.42,2020-02-01
2064,Azúcar ,Libra,30,12.81,384.3,2020-02-01
2065,Aceite ,Litro,7,44.07,308.49,2020-02-01
2066,Posta de res,Libra,8,92.83,742.64,2020-02-01
2067,Posta de cerdo,Libra,5,69.02,345.09999999999997,2020-02-01
2068,Carne de aves,Libra,8,44.050000000000004,352.40000000000003,2020-02-01
2069,Chuleta de pescado,Libra,9,81.62,734.58,2020-02-01
2070,Leche ,Litro,30,30.68,920.4,2020-02-01
2071,Huevos,Docena,7,58.45,409.15000000000003,2020-02-01
2072,Queso seco,Libra,9,74.12,667.08,2020-02-01
2073,Tortilla ,Libra,57,16.42,935.94,2020-02-01
2074,Pinolillo,Libra,10,29.990000000000002,299.90000000000003,2020-02-01
2075,Pastas alimenticias  ,Libra,5,30.02,150.1,2020-02-01
2076,Pan ,Libra,27,24.82,670.14,2020-02-01
2077,Tomate de cocinar,Libra,14,14.24,199.36,2020-02-01
2078,Cebolla blanca,Libra,8,23.48,187.84,2020-02-01
2079,Papas,Libra,15,19.71,295.65000000000003,2020-02-01
2080,Ayote,Libra,32,6.32,202.24,2020-02-01
2081,Chiltoma ,Libra,3,29.45,88.35,2020-02-01
2082,Plátano verde,Libra,16,10.15,162.4,2020-02-01
2083,Naranja ,Libra,46,6.34,291.64,2020-02-01
2084,Repollo,Libra,2,4.97,9.94,2020-02-01
2085,Jabón de lavar ropa,Unidad,12.55,15.200000000000001,190.76000000000002,2020-02-01
2086,Detergente en polvo,Bolsita de 40 gramos ,27.97,2.92,81.6724,2020-02-01
2087,Pasta dental,Unidad de 115 grs ,2.13,34.79,74.1027,2020-02-01
2088,Fósforos,Cajita de 40 cerillos,10.87,1.6600000000000001,18.0442,2020-02-01
2089,Escoba ,Unidad,1.22,58.050000000000004,70.821,2020-02-01
2090,Papel higiénico,Rollos,10.71,14.52,155.50920000000002,2020-02-01
2091,Jabón de baño,Unidad,4.67,9.450000000000001,44.1315,2020-02-01
2092,Toallas sanitarias ,Bolsa de 10 unid,2.21,20.73,45.8133,2020-02-01
2093,Desodorante nacional,Unidad,1.9,33.95,64.505,2020-02-01
2094,Cepillo dental,Unidad,2.49,14.6,36.354,2020-02-01
2095,Alquiler,Valor (C$) mensual,1,900,900,2020-02-01
2096,Gas butano , 25 libras,1,251.46,251.46,2020-02-01
2097,Luz eléctrica,KWH,100,3.4223865,342.23865,2020-02-01
2098,Agua,Galones,5292,0.029667749387150413,157.0017297568,2020-02-01
2099,Transporte ,Pasaje,240,2.5,600,2020-02-01
2100, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,464.45,288.5581874799984,2020-02-01
2101, Camisa manga corta ,Unidad,0.6600037006796985,126.28,83.34526732183232,2020-02-01
2102, Calzoncillos,Unidad,1.56501893310219,44.300000000000004,69.33033873642702,2020-02-01
2103, Calcetines,Par,1.3198798072969047,28.47,37.576978113742875,2020-02-01
2104," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,428.58,185.23712052663788,2020-02-01
2105, Blusa manga corta ,Unidad,0.66,123.38000000000001,81.4308,2020-02-01
2106, Pantalón largo de tela de jeans ,Unidad,0.51,457.57,233.3607,2020-02-01
2107, Vestido entero ,Unidad,0.5,292.8,146.4,2020-02-01
2108, Calzones/ Bikinis,Unidad,1.23,41.57,51.131099999999996,2020-02-01
2109, Brassier/ sostén,Unidad,0.97,50.51,48.994699999999995,2020-02-01
2110, Sandalias de cuero sintético ,Par,0.44,244.04,107.3776,2020-02-01
2111, Traje completo,Unidad,0.5019645078350022,325.02,163.14850433653243,2020-02-01
2112, Calzones,Unidad,1.4326365541172035,30.87,44.225490425598075,2020-02-01
2113, Calcetines,Par,1.3882846737113883,29.55,41.023812108171526,2020-02-01
2114, Zapato de cuero sintético ,Par,0.44713223086502013,327.77,146.55653131062763,2020-02-01
2115,Arroz ,Libra,38,14.03,533.14,2020-03-01
2116,Frijol ,Libra,34,16.67,566.7800000000001,2020-03-01
2117,Azúcar ,Libra,30,12.8,384,2020-03-01
2118,Aceite ,Litro,7,45.11,315.77,2020-03-01
2119,Posta de res,Libra,8,93.71,749.68,2020-03-01
2120,Posta de cerdo,Libra,5,70,350,2020-03-01
2121,Carne de aves,Libra,8,44.19,353.52,2020-03-01
2122,Chuleta de pescado,Libra,9,80.67,726.03,2020-03-01
2123,Leche ,Litro,30,30.64,919.2,2020-03-01
2124,Huevos,Docena,7,58.2,407.40000000000003,2020-03-01
2125,Queso seco,Libra,9,73.85,664.65,2020-03-01
2126,Tortilla ,Libra,57,16.09,917.13,2020-03-01
2127,Pinolillo,Libra,10,29.93,299.3,2020-03-01
2128,Pastas alimenticias  ,Libra,5,30,150,2020-03-01
2129,Pan ,Libra,27,23.97,647.1899999999999,2020-03-01
2130,Tomate de cocinar,Libra,14,13.07,182.98000000000002,2020-03-01
2131,Cebolla blanca,Libra,8,25.13,201.04,2020-03-01
2132,Papas,Libra,15,20.32,304.8,2020-03-01
2133,Ayote,Libra,32,6.12,195.84,2020-03-01
2134,Chiltoma ,Libra,3,29.48,88.44,2020-03-01
2135,Plátano verde,Libra,16,9.38,150.08,2020-03-01
2136,Naranja ,Libra,46,7.26,333.96,2020-03-01
2137,Repollo,Libra,2,5.5,11,2020-03-01
2138,Jabón de lavar ropa,Unidad,12.55,15.41,193.39550000000003,2020-03-01
2139,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.02,84.4694,2020-03-01
2140,Pasta dental,Unidad de 115 grs ,2.13,34.69,73.88969999999999,2020-03-01
2141,Fósforos,Cajita de 40 cerillos,10.87,1.66,18.044199999999996,2020-03-01
2142,Escoba ,Unidad,1.22,58.22,71.02839999999999,2020-03-01
2143,Papel higiénico,Rollos,10.71,14.75,157.97250000000003,2020-03-01
2144,Jabón de baño,Unidad,4.67,9.91,46.2797,2020-03-01
2145,Toallas sanitarias ,Bolsa de 10 unid,2.21,20.85,46.078500000000005,2020-03-01
2146,Desodorante nacional,Unidad,1.9,34.28,65.132,2020-03-01
2147,Cepillo dental,Unidad,2.49,14.53,36.179700000000004,2020-03-01
2148,Alquiler,Valor (C$) mensual,1,900,900,2020-03-01
2149,Gas butano , 25 libras,1,244.16,244.16,2020-03-01
2150,Luz eléctrica,KWH,100,3.4310045,343.10044999999997,2020-03-01
2151,Agua,Galones,5292,0.029667749387150413,157.0017297568,2020-03-01
2152,Transporte ,Pasaje,240,2.5,600,2020-03-01
2153, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,464.3,288.4649939648257,2020-03-01
2154, Camisa manga corta ,Unidad,0.6600037006796985,126.72,83.63566895013139,2020-03-01
2155, Calzoncillos,Unidad,1.56501893310219,44.39,69.47119044040622,2020-03-01
2156, Calcetines,Par,1.3198798072969047,28.64,37.80135768098335,2020-03-01
2157," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,428.58,185.23712052663788,2020-03-01
2158, Blusa manga corta ,Unidad,0.66,123.38,81.4308,2020-03-01
2159, Pantalón largo de tela de jeans ,Unidad,0.51,457.71,233.4321,2020-03-01
2160, Vestido entero ,Unidad,0.5,292.37,146.185,2020-03-01
2161, Calzones/ Bikinis,Unidad,1.23,41.58,51.1434,2020-03-01
2162, Brassier/ sostén,Unidad,0.97,50.79,49.2663,2020-03-01
2163, Sandalias de cuero sintético ,Par,0.44,244.04,107.3776,2020-03-01
2164, Traje completo,Unidad,0.5019645078350022,325.05,163.1635632717675,2020-03-01
2165, Calzones,Unidad,1.4326365541172035,30.74,44.03924767356283,2020-03-01
2166, Calcetines,Par,1.3882846737113883,29.62,41.12099203533133,2020-03-01
2167, Zapato de cuero sintético ,Par,0.44713223086502013,327.79,146.56547395524495,2020-03-01
2168,Arroz ,Libra,38,14.09,535.42,2020-04-01
2169,Frijol ,Libra,34,19.330000000000002,657.22,2020-04-01
2170,Azúcar ,Libra,30,12.88,386.40000000000003,2020-04-01
2171,Aceite ,Litro,7,45.12,315.84,2020-04-01
2172,Posta de res,Libra,8,93.14,745.12,2020-04-01
2173,Posta de cerdo,Libra,5,69.28,346.4,2020-04-01
2174,Carne de aves,Libra,8,43.81,350.48,2020-04-01
2175,Chuleta de pescado,Libra,9,81.81,736.29,2020-04-01
2176,Leche ,Litro,30,30.88,926.4,2020-04-01
2177,Huevos,Docena,7,58.06,406.42,2020-04-01
2178,Queso seco,Libra,9,71.42,642.78,2020-04-01
2179,Tortilla ,Libra,57,15.700000000000001,894.9000000000001,2020-04-01
2180,Pinolillo,Libra,10,30.03,300.3,2020-04-01
2181,Pastas alimenticias  ,Libra,5,29.94,149.70000000000002,2020-04-01
2182,Pan ,Libra,27,23.45,633.15,2020-04-01
2183,Tomate de cocinar,Libra,14,13.4,187.6,2020-04-01
2184,Cebolla blanca,Libra,8,24.77,198.16,2020-04-01
2185,Papas,Libra,15,20.150000000000002,302.25000000000006,2020-04-01
2186,Ayote,Libra,32,6.43,205.76,2020-04-01
2187,Chiltoma ,Libra,3,29.04,87.12,2020-04-01
2188,Plátano verde,Libra,16,9.5,152,2020-04-01
2189,Naranja ,Libra,46,8.67,398.82,2020-04-01
2190,Repollo,Libra,2,5.45,10.9,2020-04-01
2191,Jabón de lavar ropa,Unidad,12.55,15.51,194.65050000000002,2020-04-01
2192,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.07,85.86789999999999,2020-04-01
2193,Pasta dental,Unidad de 115 grs ,2.13,34.480000000000004,73.4424,2020-04-01
2194,Fósforos,Cajita de 40 cerillos,10.87,1.6300000000000001,17.7181,2020-04-01
2195,Escoba ,Unidad,1.22,60.26,73.5172,2020-04-01
2196,Papel higiénico,Rollos,10.71,15.02,160.8642,2020-04-01
2197,Jabón de baño,Unidad,4.67,11.63,54.3121,2020-04-01
2198,Toallas sanitarias ,Bolsa de 10 unid,2.21,20.96,46.321600000000004,2020-04-01
2199,Desodorante nacional,Unidad,1.9,34.59,65.721,2020-04-01
2200,Cepillo dental,Unidad,2.49,14.4,35.856,2020-04-01
2201,Alquiler,Valor (C$) mensual,1,900,900,2020-04-01
2202,Gas butano , 25 libras,1,220.03,220.03,2020-04-01
2203,Luz eléctrica,KWH,100,3.43930975,343.930975,2020-04-01
2204,Agua,Galones,5292,0.029667749387150413,157.0017297568,2020-04-01
2205,Transporte ,Pasaje,240,2.5,600,2020-04-01
2206, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,464.57,288.6327422921367,2020-04-01
2207, Camisa manga corta ,Unidad,0.6600037006796985,126.83,83.70826935720616,2020-04-01
2208, Calzoncillos,Unidad,1.56501893310219,44.18,69.14253646445475,2020-04-01
2209, Calcetines,Par,1.3198798072969047,28.990000000000002,38.26331561353727,2020-04-01
2210," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,428.58,185.23712052663788,2020-04-01
2211, Blusa manga corta ,Unidad,0.66,123.38000000000001,81.4308,2020-04-01
2212, Pantalón largo de tela de jeans ,Unidad,0.51,457.57,233.3607,2020-04-01
2213, Vestido entero ,Unidad,0.5,292.28000000000003,146.14000000000001,2020-04-01
2214, Calzones/ Bikinis,Unidad,1.23,41.59,51.1557,2020-04-01
2215, Brassier/ sostén,Unidad,0.97,51.09,49.557300000000005,2020-04-01
2216, Sandalias de cuero sintético ,Par,0.44,246.09,108.2796,2020-04-01
2217, Traje completo,Unidad,0.5019645078350022,325.52,163.39948659044992,2020-04-01
2218, Calzones,Unidad,1.4326365541172035,30.78,44.096553135727525,2020-04-01
2219, Calcetines,Par,1.3882846737113883,29.560000000000002,41.037694954908645,2020-04-01
2220, Zapato de cuero sintético ,Par,0.44713223086502013,327.81,146.57441659986225,2020-04-01
2221,Arroz ,Libra,38,14.1,535.8,2020-05-01
2222,Frijol ,Libra,34,23.02,782.68,2020-05-01
2223,Azúcar ,Libra,30,12.88,386.40000000000003,2020-05-01
2224,Aceite ,Litro,7,43.13,301.91,2020-05-01
2225,Posta de res,Libra,8,92.96000000000001,743.6800000000001,2020-05-01
2226,Posta de cerdo,Libra,5,68.2,341,2020-05-01
2227,Carne de aves,Libra,8,43.550000000000004,348.40000000000003,2020-05-01
2228,Chuleta de pescado,Libra,9,80.01,720.09,2020-05-01
2229,Leche ,Litro,30,31.04,931.1999999999999,2020-05-01
2230,Huevos,Docena,7,58.17,407.19,2020-05-01
2231,Queso seco,Libra,9,73.36,660.24,2020-05-01
2232,Tortilla ,Libra,57,18.43,1050.51,2020-05-01
2233,Pinolillo,Libra,10,30.11,301.1,2020-05-01
2234,Pastas alimenticias  ,Libra,5,30.38,151.9,2020-05-01
2235,Pan ,Libra,27,23.14,624.78,2020-05-01
2236,Tomate de cocinar,Libra,14,13.040000000000001,182.56,2020-05-01
2237,Cebolla blanca,Libra,8,29.2,233.6,2020-05-01
2238,Papas,Libra,15,20.07,301.05,2020-05-01
2239,Ayote,Libra,32,7.86,251.52,2020-05-01
2240,Chiltoma ,Libra,3,28.96,86.88,2020-05-01
2241,Plátano verde,Libra,16,9.370000000000001,149.92000000000002,2020-05-01
2242,Naranja ,Libra,46,10.3,473.8,2020-05-01
2243,Repollo,Libra,2,6.15,12.3,2020-05-01
2244,Jabón de lavar ropa,Unidad,12.55,15.530000000000001,194.90150000000003,2020-05-01
2245,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.08,86.1476,2020-05-01
2246,Pasta dental,Unidad de 115 grs ,2.13,34.26,72.9738,2020-05-01
2247,Fósforos,Cajita de 40 cerillos,10.87,1.58,17.174599999999998,2020-05-01
2248,Escoba ,Unidad,1.22,60.68,74.0296,2020-05-01
2249,Papel higiénico,Rollos,10.71,14.93,159.90030000000002,2020-05-01
2250,Jabón de baño,Unidad,4.67,11.8,55.106,2020-05-01
2251,Toallas sanitarias ,Bolsa de 10 unid,2.21,21.05,46.5205,2020-05-01
2252,Desodorante nacional,Unidad,1.9,34.85,66.215,2020-05-01
2253,Cepillo dental,Unidad,2.49,14.49,36.0801,2020-05-01
2254,Alquiler,Valor (C$) mensual,1,900,900,2020-05-01
2255,Gas butano , 25 libras,1,225.81,225.81,2020-05-01
2256,Luz eléctrica,KWH,100,3.4479559999999996,344.7956,2020-05-01
2257,Agua,Galones,5292,0.029667749387150413,157.0017297568,2020-05-01
2258,Transporte ,Pasaje,240,2.5,600,2020-05-01
2259, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,462.1,287.0981557422915,2020-05-01
2260, Camisa manga corta ,Unidad,0.6600037006796985,126.83,83.70826935720616,2020-05-01
2261, Calzoncillos,Unidad,1.56501893310219,44.050000000000004,68.93908400315148,2020-05-01
2262, Calcetines,Par,1.3198798072969047,29.1,38.408502392339926,2020-05-01
2263," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,428.58,185.23712052663788,2020-05-01
2264, Blusa manga corta ,Unidad,0.66,123.77,81.6882,2020-05-01
2265, Pantalón largo de tela de jeans ,Unidad,0.51,457.38,233.2638,2020-05-01
2266, Vestido entero ,Unidad,0.5,291.93,145.965,2020-05-01
2267, Calzones/ Bikinis,Unidad,1.23,41.74,51.3402,2020-05-01
2268, Brassier/ sostén,Unidad,0.97,50.85,49.3245,2020-05-01
2269, Sandalias de cuero sintético ,Par,0.44,246.09,108.2796,2020-05-01
2270, Traje completo,Unidad,0.5019645078350022,323.23,162.24998786750777,2020-05-01
2271, Calzones,Unidad,1.4326365541172035,30.78,44.096553135727525,2020-05-01
2272, Calcetines,Par,1.3882846737113883,30.02,41.67630590481588,2020-05-01
2273, Zapato de cuero sintético ,Par,0.44713223086502013,325.68,145.62202494811976,2020-05-01
2274,Arroz ,Libra,38,14.11,536.18,2020-06-01
2275,Frijol ,Libra,34,29.04,987.36,2020-06-01
2276,Azúcar ,Libra,30,12.91,387.3,2020-06-01
2277,Aceite ,Litro,7,40.56,283.92,2020-06-01
2278,Posta de res,Libra,8,94.95,759.6,2020-06-01
2279,Posta de cerdo,Libra,5,68.94,344.7,2020-06-01
2280,Carne de aves,Libra,8,42.76,342.08,2020-06-01
2281,Chuleta de pescado,Libra,9,80.14,721.26,2020-06-01
2282,Leche ,Litro,30,31.080000000000002,932.4000000000001,2020-06-01
2283,Huevos,Docena,7,58.07,406.49,2020-06-01
2284,Queso seco,Libra,9,65.23,587.07,2020-06-01
2285,Tortilla ,Libra,57,17.63,1004.91,2020-06-01
2286,Pinolillo,Libra,10,30.080000000000002,300.8,2020-06-01
2287,Pastas alimenticias  ,Libra,5,30.14,150.7,2020-06-01
2288,Pan ,Libra,27,23.830000000000002,643.4100000000001,2020-06-01
2289,Tomate de cocinar,Libra,14,14.64,204.96,2020-06-01
2290,Cebolla blanca,Libra,8,33.72,269.76,2020-06-01
2291,Papas,Libra,15,22.63,339.45,2020-06-01
2292,Ayote,Libra,32,9.68,309.76,2020-06-01
2293,Chiltoma ,Libra,3,33.84,101.52000000000001,2020-06-01
2294,Plátano verde,Libra,16,9.040000000000001,144.64000000000001,2020-06-01
2295,Naranja ,Libra,46,10.08,463.68,2020-06-01
2296,Repollo,Libra,2,7.3,14.6,2020-06-01
2297,Jabón de lavar ropa,Unidad,12.55,15.56,195.27800000000002,2020-06-01
2298,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.09,86.42729999999999,2020-06-01
2299,Pasta dental,Unidad de 115 grs ,2.13,34.730000000000004,73.9749,2020-06-01
2300,Fósforos,Cajita de 40 cerillos,10.87,1.6600000000000001,18.0442,2020-06-01
2301,Escoba ,Unidad,1.22,61.28,74.7616,2020-06-01
2302,Papel higiénico,Rollos,10.71,14.94,160.00740000000002,2020-06-01
2303,Jabón de baño,Unidad,4.67,13.01,60.756699999999995,2020-06-01
2304,Toallas sanitarias ,Bolsa de 10 unid,2.21,21.2,46.852,2020-06-01
2305,Desodorante nacional,Unidad,1.9,35.22,66.91799999999999,2020-06-01
2306,Cepillo dental,Unidad,2.49,14.64,36.4536,2020-06-01
2307,Alquiler,Valor (C$) mensual,1,900,900,2020-06-01
2308,Gas butano , 25 libras,1,242.86,242.86,2020-06-01
2309,Luz eléctrica,KWH,100,3.45626725,345.62672499999996,2020-06-01
2310,Agua,Galones,5292,0.029667749387150413,157.0017297568,2020-06-01
2311,Transporte ,Pasaje,240,2.5,600,2020-06-01
2312, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,464.14,288.3655875486414,2020-06-01
2313, Camisa manga corta ,Unidad,0.6600037006796985,126.83,83.70826935720616,2020-06-01
2314, Calzoncillos,Unidad,1.56501893310219,44.300000000000004,69.33033873642702,2020-06-01
2315, Calcetines,Par,1.3198798072969047,29.1,38.408502392339926,2020-06-01
2316," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,428.58,185.23712052663788,2020-06-01
2317, Blusa manga corta ,Unidad,0.66,123.77,81.6882,2020-06-01
2318, Pantalón largo de tela de jeans ,Unidad,0.51,454.93,232.01430000000002,2020-06-01
2319, Vestido entero ,Unidad,0.5,288.87,144.435,2020-06-01
2320, Calzones/ Bikinis,Unidad,1.23,41.75,51.3525,2020-06-01
2321, Brassier/ sostén,Unidad,0.97,50.86,49.334199999999996,2020-06-01
2322, Sandalias de cuero sintético ,Par,0.44,246.09,108.2796,2020-06-01
2323, Traje completo,Unidad,0.5019645078350022,322.15000000000003,161.70786619904598,2020-06-01
2324, Calzones,Unidad,1.4326365541172035,30.78,44.096553135727525,2020-06-01
2325, Calcetines,Par,1.3882846737113883,30.02,41.67630590481588,2020-06-01
2326, Zapato de cuero sintético ,Par,0.44713223086502013,325.71,145.6354389150457,2020-06-01
2327,Arroz ,Libra,38,14.120000000000001,536.5600000000001,2020-07-01
2328,Frijol ,Libra,34,30.34,1031.56,2020-07-01
2329,Azúcar ,Libra,30,12.96,388.8,2020-07-01
2330,Aceite ,Litro,7,38.52,269.64000000000004,2020-07-01
2331,Posta de res,Libra,8,94.88,759.04,2020-07-01
2332,Posta de cerdo,Libra,5,68.8,344,2020-07-01
2333,Carne de aves,Libra,8,43.04,344.32,2020-07-01
2334,Chuleta de pescado,Libra,9,79.77,717.93,2020-07-01
2335,Leche ,Litro,30,31.11,933.3,2020-07-01
2336,Huevos,Docena,7,58.19,407.33,2020-07-01
2337,Queso seco,Libra,9,59.56,536.04,2020-07-01
2338,Tortilla ,Libra,57,16.89,962.73,2020-07-01
2339,Pinolillo,Libra,10,29.94,299.40000000000003,2020-07-01
2340,Pastas alimenticias  ,Libra,5,30.3,151.5,2020-07-01
2341,Pan ,Libra,27,23.37,630.99,2020-07-01
2342,Tomate de cocinar,Libra,14,17.27,241.78,2020-07-01
2343,Cebolla blanca,Libra,8,30.740000000000002,245.92000000000002,2020-07-01
2344,Papas,Libra,15,27.51,412.65000000000003,2020-07-01
2345,Ayote,Libra,32,6.8,217.6,2020-07-01
2346,Chiltoma ,Libra,3,33.82,101.46000000000001,2020-07-01
2347,Plátano verde,Libra,16,9.51,152.16,2020-07-01
2348,Naranja ,Libra,46,8.67,398.82,2020-07-01
2349,Repollo,Libra,2,9.96,19.92,2020-07-01
2350,Jabón de lavar ropa,Unidad,12.55,15.610000000000001,195.90550000000002,2020-07-01
2351,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.08,86.1476,2020-07-01
2352,Pasta dental,Unidad de 115 grs ,2.13,35.22,75.01859999999999,2020-07-01
2353,Fósforos,Cajita de 40 cerillos,10.87,1.68,18.261599999999998,2020-07-01
2354,Escoba ,Unidad,1.22,61.74,75.3228,2020-07-01
2355,Papel higiénico,Rollos,10.71,14.98,160.43580000000003,2020-07-01
2356,Jabón de baño,Unidad,4.67,12.23,57.1141,2020-07-01
2357,Toallas sanitarias ,Bolsa de 10 unid,2.21,21.22,46.89619999999999,2020-07-01
2358,Desodorante nacional,Unidad,1.9,35.27,67.013,2020-07-01
2359,Cepillo dental,Unidad,2.49,14.72,36.652800000000006,2020-07-01
2360,Alquiler,Valor (C$) mensual,1,900,900,2020-07-01
2361,Gas butano , 25 libras,1,257.06,257.06,2020-07-01
2362,Luz eléctrica,KWH,100,3.3513622499999998,335.13622499999997,2020-07-01
2363,Agua,Galones,5292,0.029667749387150413,157.0017297568,2020-07-01
2364,Transporte ,Pasaje,240,2.5,600,2020-07-01
2365, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,464.62,288.6638067971943,2020-07-01
2366, Camisa manga corta ,Unidad,0.6600037006796985,126.65,83.58946869108382,2020-07-01
2367, Calzoncillos,Unidad,1.56501893310219,44.800000000000004,70.11284820297811,2020-07-01
2368, Calcetines,Par,1.3198798072969047,28.990000000000002,38.26331561353727,2020-07-01
2369," Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)  ",Par,0.432211303669415,432.57,186.96164362827886,2020-07-01
2370, Blusa manga corta ,Unidad,0.66,123.69,81.6354,2020-07-01
2371, Pantalón largo de tela de jeans ,Unidad,0.51,457.15000000000003,233.14650000000003,2020-07-01
2372, Vestido entero ,Unidad,0.5,289.86,144.93,2020-07-01
2373, Calzones/ Bikinis,Unidad,1.23,42.45,52.2135,2020-07-01
2374, Brassier/ sostén,Unidad,0.97,51.160000000000004,49.6252,2020-07-01
2375, Sandalias de cuero sintético ,Par,0.44,245.32,107.9408,2020-07-01
2376, Traje completo,Unidad,0.5019645078350022,322.2,161.7329644244377,2020-07-01
2377, Calzones,Unidad,1.4326365541172035,31.64,45.32862057226832,2020-07-01
2378, Calcetines,Par,1.3882846737113883,29.59,41.07934349511998,2020-07-01
2379, Zapato de cuero sintético ,Par,0.44713223086502013,324.95,145.2956184195883,2020-07-01
2380,Arroz ,Libra,38,14.3,543.4,2020-08-01
2381,Frijol ,Libra,34,22.59,768.06,2020-08-01
2382,Azúcar ,Libra,30,12.93,387.9,2020-08-01
2383,Aceite ,Litro,7,37.74,264.18,2020-08-01
2384,Posta de res,Libra,8,94.57000000000001,756.5600000000001,2020-08-01
2385,Posta de cerdo,Libra,5,68.7,343.5,2020-08-01
2386,Carne de aves,Libra,8,43.76,350.08,2020-08-01
2387,Chuleta de pescado,Libra,9,79.93,719.3700000000001,2020-08-01
2388,Leche ,Litro,30,30.87,926.1,2020-08-01
2389,Huevos,Docena,7,57.68,403.76,2020-08-01
2390,Queso seco,Libra,9,61.51,553.59,2020-08-01
2391,Tortilla ,Libra,57,17.44,994.08,2020-08-01
2392,Pinolillo,Libra,10,30.22,302.2,2020-08-01
2393,Pastas alimenticias  ,Libra,5,31.16,155.8,2020-08-01
2394,Pan ,Libra,27,23.81,642.87,2020-08-01
2395,Tomate de cocinar,Libra,14,15.6,218.4,2020-08-01
2396,Cebolla blanca,Libra,8,26.64,213.12,2020-08-01
2397,Papas,Libra,15,22.29,334.34999999999997,2020-08-01
2398,Ayote,Libra,32,6.28,200.96,2020-08-01
2399,Chiltoma ,Libra,3,29.17,87.51,2020-08-01
2400,Plátano verde,Libra,16,9.71,155.36,2020-08-01
2401,Naranja ,Libra,46,6.61,304.06,2020-08-01
2402,Repollo,Libra,2,10.16,20.32,2020-08-01
2403,Jabón de lavar ropa,Unidad,12.55,15.52,194.776,2020-08-01
2404,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.12,87.2664,2020-08-01
2405,Pasta dental,Unidad de 115 grs ,2.13,35.52,75.6576,2020-08-01
2406,Fósforos,Cajita de 40 cerillos,10.87,1.68,18.261599999999998,2020-08-01
2407,Escoba ,Unidad,1.22,61.7,75.274,2020-08-01
2408,Papel higiénico,Rollos,10.71,14.74,157.86540000000002,2020-08-01
2409,Jabón de baño,Unidad,4.67,11.63,54.3121,2020-08-01
2410,Toallas sanitarias ,Bolsa de 10 unid,2.21,21.36,47.2056,2020-08-01
